measurement_pk,condition_pk,condition_label,setup_date,experiment_location
TRAMEA000227,TRACON000002,maintenance,,
TRAMEA000228,TRACON000001,test,,
TRAMEA000228,TRACON000002,maintenance,,
TRAMEA000229,TRACON000001,test,,
TRAMEA000229,TRACON000002,maintenance,,
TRAMEA000230,TRACON000001,test,,
TRAMEA000230,TRACON000002,maintenance,,
TRAMEA000231,TRACON000001,test,,
TRAMEA000231,TRACON000002,maintenance,,
TRAMEA000232,TRACON000001,test,,
TRAMEA000232,TRACON000002,maintenance,,
TRAMEA000233,TRACON000001,test,,
TRAMEA000233,TRACON000002,maintenance,,
TRAMEA000234,TRACON000001,test,,
TRAMEA000234,TRACON000002,maintenance,,
TRAMEA000235,TRACON000001,test,,
TRAMEA000235,TRACON000002,maintenance,,
TRAMEA000236,TRACON000001,test,,
TRAMEA000236,TRACON000002,maintenance,,
TRAMEA000237,TRACON000001,test,,
TRAMEA000237,TRACON000002,maintenance,,
TRAMEA000238,TRACON000001,test,,
TRAMEA000238,TRACON000002,maintenance,,
TRAMEA000239,TRACON000001,test,,
TRAMEA000239,TRACON000002,maintenance,,
TRAMEA000240,TRACON000001,test,,
TRAMEA000240,TRACON000002,maintenance,,
TRAMEA000241,TRACON000001,test,,
TRAMEA000241,TRACON000002,maintenance,,
TRAMEA000242,TRACON000001,test,,
TRAMEA000242,TRACON000002,maintenance,,
TRAMEA000243,TRACON000001,test,,
TRAMEA000243,TRACON000002,maintenance,,
TRAMEA000244,TRACON000001,test,,
TRAMEA000244,TRACON000002,maintenance,,
TRAMEA000245,TRACON000001,test,,
TRAMEA000245,TRACON000002,maintenance,,
TRAMEA000246,TRACON000001,test,,
TRAMEA000246,TRACON000002,maintenance,,
TRAMEA000247,TRACON000001,test,,
TRAMEA000247,TRACON000002,maintenance,,
TRAMEA000248,TRACON000001,test,,
TRAMEA000248,TRACON000002,maintenance,,
TRAMEA000249,TRACON000001,test,,
TRAMEA000249,TRACON000002,maintenance,,
TRAMEA000250,TRACON000001,test,,
TRAMEA000250,TRACON000002,maintenance,,
TRAMEA000251,TRACON000001,test,,
TRAMEA000251,TRACON000002,maintenance,,
TRAMEA000252,TRACON000001,test,,
TRAMEA000252,TRACON000002,maintenance,,
TRAMEA000253,TRACON000001,test,,
TRAMEA000253,TRACON000002,maintenance,,
TRAMEA000254,TRACON000001,test,,
TRAMEA000254,TRACON000002,maintenance,,
TRAMEA000255,TRACON000001,test,,
TRAMEA000255,TRACON000002,maintenance,,
TRAMEA000256,TRACON000001,test,,
TRAMEA000256,TRACON000002,maintenance,,
TRAMEA000257,TRACON000001,test,,
TRAMEA000257,TRACON000002,maintenance,,
TRAMEA000258,TRACON000001,test,,
TRAMEA000258,TRACON000002,maintenance,,
TRAMEA000259,TRACON000001,test,,
TRAMEA000259,TRACON000002,maintenance,,
TRAMEA000260,TRACON000001,test,,
TRAMEA000260,TRACON000002,maintenance,,
TRAMEA000261,TRACON000001,test,,
TRAMEA000261,TRACON000002,maintenance,,
TRAMEA000262,TRACON000001,test,,
TRAMEA000262,TRACON000002,maintenance,,
TRAMEA000263,TRACON000001,test,,
TRAMEA000263,TRACON000002,maintenance,,
TRAMEA000264,TRACON000001,test,,
TRAMEA000264,TRACON000002,maintenance,,
TRAMEA000265,TRACON000001,test,,
TRAMEA000265,TRACON000002,maintenance,,
TRAMEA000266,TRACON000001,test,,
TRAMEA000266,TRACON000002,maintenance,,
TRAMEA000267,TRACON000001,test,,
TRAMEA000267,TRACON000002,maintenance,,
TRAMEA000268,TRACON000001,test,,
TRAMEA000268,TRACON000002,maintenance,,
TRAMEA000269,TRACON000001,test,,
TRAMEA000269,TRACON000002,maintenance,,
TRAMEA000270,TRACON000001,test,,
TRAMEA000270,TRACON000002,maintenance,,
TRAMEA000271,TRACON000001,test,,
TRAMEA000271,TRACON000002,maintenance,,
TRAMEA000272,TRACON000001,test,,
TRAMEA000272,TRACON000002,maintenance,,
TRAMEA000273,TRACON000001,test,,
TRAMEA000273,TRACON000002,maintenance,,
TRAMEA000274,TRACON000001,test,,
TRAMEA000274,TRACON000002,maintenance,,
TRAMEA000275,TRACON000001,test,,
TRAMEA000275,TRACON000002,maintenance,,
TRAMEA000276,TRACON000001,test,,
TRAMEA000276,TRACON000002,maintenance,,
TRAMEA000277,TRACON000001,test,,
TRAMEA000277,TRACON000002,maintenance,,
TRAMEA000278,TRACON000001,test,,
TRAMEA000278,TRACON000002,maintenance,,
TRAMEA000279,TRACON000001,test,,
TRAMEA000279,TRACON000002,maintenance,,
TRAMEA000280,TRACON000001,test,,
TRAMEA000280,TRACON000002,maintenance,,
TRAMEA000281,TRACON000001,test,,
TRAMEA000281,TRACON000002,maintenance,,
TRAMEA000282,TRACON000001,test,,
TRAMEA000282,TRACON000002,maintenance,,
TRAMEA000283,TRACON000001,test,,
TRAMEA000283,TRACON000002,maintenance,,
TRAMEA000284,TRACON000001,test,,
TRAMEA000284,TRACON000002,maintenance,,
TRAMEA000285,TRACON000001,test,,
TRAMEA000285,TRACON000002,maintenance,,
TRAMEA000286,TRACON000001,test,,
TRAMEA000286,TRACON000002,maintenance,,
TRAMEA000287,TRACON000001,test,,
TRAMEA000287,TRACON000002,maintenance,,
TRAMEA000288,TRACON000001,test,,
TRAMEA000288,TRACON000002,maintenance,,
TRAMEA000289,TRACON000001,test,,
TRAMEA000289,TRACON000002,maintenance,,
TRAMEA000290,TRACON000001,test,,
TRAMEA000290,TRACON000002,maintenance,,
TRAMEA000291,TRACON000001,test,,
TRAMEA000291,TRACON000002,maintenance,,
TRAMEA000292,TRACON000001,test,,
TRAMEA000292,TRACON000002,maintenance,,
TRAMEA000293,TRACON000001,test,,
TRAMEA000293,TRACON000002,maintenance,,
TRAMEA000294,TRACON000001,test,,
TRAMEA000294,TRACON000002,maintenance,,
TRAMEA000295,TRACON000001,test,,
TRAMEA000295,TRACON000002,maintenance,,
TRAMEA000296,TRACON000001,test,,
TRAMEA000296,TRACON000002,maintenance,,
TRAMEA000297,TRACON000001,test,,
TRAMEA000297,TRACON000002,maintenance,,
TRAMEA000298,TRACON000001,test,,
TRAMEA000298,TRACON000002,maintenance,,
TRAMEA000299,TRACON000001,test,,
TRAMEA000299,TRACON000002,maintenance,,
TRAMEA000300,TRACON000001,test,,
TRAMEA000300,TRACON000002,maintenance,,
TRAMEA000301,TRACON000001,test,,
